	wl	abs
0	399.505176843114	0.042434261424915354
1	400.06157747196374	0.03522410108039242
2	400.61797810081356	0.041114939483567925
3	401.1743787296633	0.03768068841486438
4	401.73077935851313	0.036525935542767396
5	402.2871799873629	0.035891430339962005
6	402.8435806162127	0.038761140701068175
7	403.39998124506246	0.0420641562858437
8	403.9563818739123	0.042257974804583265
9	404.51278250276204	0.04010295327391611
10	405.06918313161185	0.043575663844139356
11	405.6255837604616	0.033916180786522254
12	406.1819843893114	0.04009430897841204
13	406.7383850181612	0.04201903176395283
14	407.294785647011	0.04209460226268047
15	407.85118627586075	0.04478854797767484
16	408.40758690471057	0.044972525440336586
17	408.9639875335603	0.040099668347288064
18	409.52038816241014	0.040560417752939504
19	410.0767887912599	0.04477910543588459
20	410.6331894201097	0.039130149768343614
21	411.1895900489595	0.03703679534018889
22	411.74599067780923	0.041026796094929985
23	412.30239130665905	0.0324463225715359
24	412.8587919355088	0.03715643979444816
25	413.4151925643586	0.033362868778711086
26	413.9715931932084	0.03179019421734597
27	414.5279938220582	0.028351246576689082
28	415.08439445090795	0.03599648640425457
29	415.64079507975777	0.02961105995464819
30	416.1971957086075	0.038134969782830375
31	416.75359633745734	0.03515791479385855
32	417.3099969663071	0.029393418966032092
33	417.8663975951569	0.029134435904116573
34	418.42279822400667	0.033050034058151656
35	418.9791988528565	0.030837471537297212
36	419.53559948170624	0.031928746707975186
37	420.09200011055606	0.029736036769616225
38	420.6484007394058	0.0299686723945507
39	421.20480136825563	0.030633276010785693
40	421.7612019971054	0.0274712551262839
41	422.31760262595515	0.03263293753709373
42	422.87400325480496	0.027190908462665808
43	423.4304038836547	0.03076228875935172
44	423.98680451250453	0.033516166904351996
45	424.5432051413543	0.030243017902882974
46	425.0996057702041	0.03346247993002316
47	425.65600639905387	0.034111468496968333
48	426.2124070279037	0.03571873795158775
49	426.76880765675344	0.033625629426111026
50	427.32520828560325	0.03561309262668311
51	427.881608914453	0.03674840652885614
52	428.4380095433028	0.03627916226486172
53	428.9944101721526	0.03653474952039626
54	429.5508108010024	0.03782920573201198
55	430.10721142985216	0.03560543834663665
56	430.663612058702	0.038169633200175745
57	431.22001268755173	0.041245435616448
58	431.77641331640154	0.03994566251961551
59	432.3328139452513	0.039376564786171686
60	432.88921457410106	0.03670529302710612
61	433.4456152029509	0.036402951024186114
62	434.00201583180063	0.03772952767575544
63	434.55841646065045	0.0382151658794867
64	435.1148170895002	0.03865622385745304
65	435.67121771835	0.039618628275028156
66	436.2276183471998	0.03931761781693255
67	436.7840189760496	0.04158259265928077
68	437.34041960489935	0.03813248125272373
69	437.89682023374917	0.03995162533221497
70	438.4532208625989	0.03989501787782279
71	439.00962149144874	0.038525128485523696
72	439.5660221202985	0.037960346398510314
73	440.1224227491483	0.03956232028990603
74	440.67882337799807	0.03987843167432725
75	441.2352240068479	0.03724813531620663
76	441.79162463569764	0.036433405663814256
77	442.34802526454746	0.037430706606338626
78	442.9044258933972	0.03782501731464616
79	443.460826522247	0.03756249535773426
80	444.0172271510968	0.03473106389908365
81	444.5736277799466	0.03301301885150387
82	445.13002840879636	0.03512994846331319
83	445.6864290376461	0.03501115983201464
84	446.24282966649594	0.033353709841485335
85	446.7992302953457	0.033735228648309246
86	447.3556309241955	0.03479581684516675
87	447.91203155304527	0.03599680782045178
88	448.4684321818951	0.03344045560159836
89	449.02483281074484	0.035353552637669816
90	449.58123343959466	0.03686608199052355
91	450.1376340684444	0.038840086200776724
92	450.6940346972942	0.0383518784007808
93	451.250435326144	0.040275132143116066
94	451.8068359549938	0.04260645627546733
95	452.36323658384356	0.04435228153730364
96	452.9196372126934	0.04628500508349931
97	453.47603784154313	0.04804167479524768
98	454.0324384703929	0.04909387605984472
99	454.5888390992427	0.05147535952490201
100	455.1452397280925	0.05513252117799672
101	455.7016403569423	0.05590213595873261
102	456.25804098579204	0.059235684846141945
103	456.81444161464185	0.05934547779111932
104	457.3708422434916	0.06069200894866156
105	457.9272428723414	0.06157277141327988
106	458.4836435011912	0.06433360575262892
107	459.040044130041	0.0646765804091205
108	459.59644475889075	0.06509154077218637
109	460.15284538774057	0.06658334211132577
110	460.7092460165903	0.06783476194487781
111	461.26564664544014	0.06596979712101514
112	461.8220472742899	0.06466382941375248
113	462.3784479031397	0.06237719180712764
114	462.9348485319895	0.06305384460451346
115	463.4912491608393	0.060455725060881926
116	464.04764978968905	0.06153432464568276
117	464.6040504185388	0.059620042985714994
118	465.1604510473886	0.05900755411420944
119	465.71685167623843	0.05678008530231282
120	466.2732523050882	0.05581431608404985
121	466.82965293393795	0.05306234351206163
122	467.38605356278777	0.051070160551159205
123	467.9424541916376	0.050654867839798445
124	468.49885482048734	0.049125117415666164
125	469.0552554493371	0.046736534163434706
126	469.6116560781869	0.044857204057863864
127	470.16805670703667	0.0456133841552564
128	470.7244573358865	0.042986237594067944
129	471.28085796473624	0.04099768755303779
130	471.83725859358606	0.0404661459728084
131	472.3936592224358	0.039067429502881446
132	472.95005985128563	0.03904068639676517
133	473.5064604801354	0.03671550279706648
134	474.0628611089852	0.03689474193837072
135	474.61926173783496	0.0364064040028973
136	475.1756623666847	0.035742863524365065
137	475.73206299553453	0.03447286146105499
138	476.28846362438435	0.03455027823657919
139	476.8448642532341	0.033430512524061484
140	477.40126488208386	0.0336936511451249
141	477.9576655109337	0.03312875957434591
142	478.5140661397835	0.032643537510239407
143	479.07046676863325	0.033678192547742736
144	479.626867397483	0.03333407177001502
145	480.1832680263328	0.033075343839193305
146	480.7396686551826	0.034007476665157244
