	wl	pwr	pwrvar
0	650.0	0.07686438231632628	8.145983509057416e-08
1	648.0	0.0837968821669447	9.008927044103991e-08
2	646.0	0.08694382371573613	5.588544956542657e-08
3	644.0	0.09173165766462203	1.1443162805635187e-07
4	642.0	0.09563818188576863	9.098523737347345e-08
5	640.0	0.10362085203329723	6.807762277362252e-08
6	638.0	0.10817206410631057	1.0974526673226007e-07
7	636.0	0.12170110722737652	2.2251430853175186e-07
8	634.0	0.1265416201846353	2.654143368903556e-07
9	632.0	0.13794623265663783	2.2257839181354874e-07
10	630.0	0.14832763373851776	2.8001363931255224e-07
11	628.0	0.1544768147998386	2.2371203816726637e-07
12	626.0	0.1686998626281475	4.442184349668635e-07
13	624.0	0.1774451429290431	3.9780893698972575e-07
14	622.0	0.18999310742531503	3.721010137686789e-07
15	620.0	0.20359940771703366	3.9258383576881377e-07
16	618.0	0.2137544666727384	4.2696077631459377e-07
17	616.0	0.2223584661881129	4.380966327034565e-07
18	614.0	0.23020029116061427	5.149591761682138e-07
19	612.0	0.23526206761598586	7.324952567070813e-07
20	610.0	0.24382170938676404	6.580639044427955e-07
21	608.0	0.2533612976471583	2.3608729760383878e-07
22	606.0	0.26465475867534505	7.53866013007429e-07
23	604.0	0.2754514714082082	9.080146633009021e-07
24	602.0	0.28737861945711335	7.858741845647177e-07
25	600.0	0.30380273262659707	1.4036473098934086e-06
26	598.0	0.31935046712557474	9.018470364412995e-07
27	596.0	0.33344567886420656	1.1259214225854034e-06
28	594.0	0.35213482893746473	1.6094901547046938e-06
29	592.0	0.37321541535443276	1.6709804085024227e-06
30	590.0	0.38708914284195217	1.778111748827777e-06
31	588.0	0.4042672083295625	1.753169374185602e-06
32	586.0	0.4155895007508142	1.889702859221887e-06
33	584.0	0.4297515493014763	3.1891899015729517e-06
34	582.0	0.4426307996114095	2.041698776914637e-06
35	580.0	0.45238980994774747	1.5699490763360113e-06
36	578.0	0.4618981357278495	2.071475506346124e-06
37	576.0	0.4760140694420913	3.567371221223004e-06
38	574.0	0.4851346581146635	1.05168568254255e-05
39	572.0	0.5003673551338059	2.858304596078659e-06
40	570.0	0.5110213818221256	2.484812283434181e-06
41	568.0	0.5230742734054039	3.4313159614643187e-06
42	566.0	0.5347453479109139	2.9024889816359615e-06
43	564.0	0.5432103069928976	2.8367066250692527e-06
44	562.0	0.5558870673179627	2.0686801071197655e-06
45	560.0	0.5687385300795237	4.386874178901539e-06
46	558.0	0.5778386807441711	9.250874085978467e-07
47	556.0	0.5894896856376103	4.888296512298786e-06
48	554.0	0.6007941325505575	4.139000537372162e-06
49	552.0	0.6113522350788116	3.4219871001421137e-06
50	550.0	0.621483536866995	4.7350089910455395e-06
51	548.0	0.6312775718314307	4.296352743299427e-06
52	546.0	0.6416127270665662	4.687853985971827e-06
53	544.0	0.6504275713648114	6.981691642521042e-06
54	542.0	0.6597221493721008	1.773877660003496e-06
55	540.0	0.6641873778968022	5.185266549276673e-06
56	538.0	0.6750744478455906	4.660088469854876e-06
57	536.0	0.6831876039505005	1.9009996828837453e-06
58	534.0	0.6879047857863563	5.352000620983273e-06
59	532.0	0.697600636879603	7.95588108475995e-06
60	530.0	0.7077350369815169	3.917415367301128e-06
61	528.0	0.7143922984600067	2.464061438291291e-06
62	526.0	0.7222790409778727	6.671976270500405e-06
63	524.0	0.730286960248594	5.990157094740502e-06
64	522.0	0.740252164999644	8.988604638141673e-06
65	520.0	0.7487045197651304	2.2501972266705028e-06
66	518.0	0.7583125213096882	6.832150889046749e-06
67	516.0	0.7642449284421986	6.870431269701495e-06
68	514.0	0.7718224854304873	5.0993751084948855e-06
69	512.0	0.7754320661226909	1.113797903848813e-05
70	510.0	0.7784975212195824	4.250091549789813e-06
71	508.0	0.7893209993839264	6.995720935130122e-06
72	506.0	0.7934041023254395	4.571093323688964e-06
73	504.0	0.8047611653804779	7.2912566474177735e-06
74	502.0	0.8113719266036461	3.3135391865874696e-06
75	500.0	0.8099108626102579	7.208786853734295e-06
76	498.0	0.8252216536423256	8.897647766507476e-06
77	496.0	0.8693828667913165	1.2374950067013527e-05
78	494.0	0.9243331695425099	2.657854804379906e-05
79	492.0	0.944504032532374	1.3640101261122895e-05
80	490.0	0.9059993724028269	6.9728439387696365e-06
81	488.0	0.8918556112509507	8.037379875987525e-06
82	486.0	0.9291650334993998	1.1685336394798975e-05
83	484.0	0.9897689716569309	1.616794369633136e-05
84	482.0	1.0160520693351482	8.883777533619229e-06
85	480.0	0.9706987533076056	1.1797669140040119e-05
86	478.0	0.9367532836539405	1.522145120906961e-05
87	476.0	0.9751073364858274	7.003950241839581e-06
88	474.0	1.065282506602151	1.352093640931559e-05
89	472.0	1.1588313261667886	1.5246623862152675e-05
90	470.0	1.2648617838110243	1.8327603364912977e-05
91	468.0	1.3166953285535177	2.070644593220865e-05
92	466.0	1.2624114326068334	2.3552927219699357e-05
93	464.0	1.164865173142532	2.275359435490993e-05
94	462.0	1.0871253793056195	2.0898459419682732e-05
95	460.0	1.0236836051940919	1.651686971526942e-05
96	458.0	0.9894646154000208	1.5000521449986139e-05
97	456.0	0.9469025929768881	1.6182932804640505e-05
98	454.0	0.9569068774580956	1.3836000290016562e-05
99	452.0	0.9765428325225567	1.4329689259976949e-05
100	450.0	0.9648846652772691	1.636566298955524e-05
101	448.0	0.9280079688344683	5.543614220550983e-06
102	446.0	0.8738639998435974	1.287780470759117e-05
103	444.0	0.8617022589400962	8.0625223348781e-06
104	442.0	0.8656807431468257	1.4387279568802209e-05
