	wl	Excit	Excit-Err	set
139	624.0	335.83132970520967	16.24904891546691	FES750
138	626.0	309.234594968837	18.337718774868687	FES750
137	628.0	301.12448081655356	18.15617697218528	FES750
136	630.0	290.47744952222	19.735748597907214	FES750
135	632.0	283.66461331284864	19.7154088021729	FES750
134	634.0	287.49142055909954	19.537108606342215	FES750
133	636.0	298.70315521872044	20.97955744600139	FES750
132	638.0	285.39381033900827	20.381589724427744	FES750
131	640.0	294.7475911442606	22.00896339970934	FES750
130	642.0	310.6468658539046	22.633909042390634	FES750
129	644.0	306.02832027551796	20.47123082887459	FES750
128	646.0	308.4764290380152	20.906747549171886	FES750
127	648.0	329.1221660764545	19.570352150290923	FES750
126	650.0	321.3262334879522	22.55709712403441	FES750
125	652.0	327.28551644007814	21.806395623963024	FES750
124	654.0	345.6223998321935	24.097189773976606	FES750
123	656.0	362.8873969237012	23.487301092173333	FES750
122	658.0	370.47220100760524	23.282027313544017	FES750
121	660.0	381.4530864977225	23.8734519568047	FES750
120	662.0	391.0417365089161	23.746075218520968	FES750
119	664.0	410.27506503393	24.471712299782947	FES750
118	666.0	422.4991814425209	22.83318769280034	FES750
117	668.0	435.1723610395525	23.940445416674486	FES750
116	670.0	456.0808558023179	23.564408092103026	FES750
115	672.0	467.62401759442986	23.420450536015668	FES750
114	674.0	472.9445687826343	24.68806213676868	FES750
113	676.0	502.53697772508195	23.949063886626444	FES750
112	678.0	524.0047143029101	24.095822941401455	FES750
111	680.0	580.5716048256627	24.496821005246247	FES750
110	682.0	575.4728314227389	21.502343021243135	FES750
109	684.0	592.9794953094004	21.494377223143072	FES750
108	686.0	647.0018136750854	21.56346077895221	FES750
107	688.0	647.6604521327998	21.557740435443442	FES750
106	690.0	663.4139598146352	22.89829499518683	FES750
105	692.0	680.6783361929685	23.54408978650025	FES750
104	694.0	739.3591860978005	28.572165026260492	FES750
103	696.0	764.0304809839897	27.73069929560937	FES750
102	698.0	782.8990308923346	30.148238568007436	FES750
101	700.0	822.5820079974203	31.17971768448237	FES750
100	702.0	858.760685400753	32.026436148318545	FES750
99	704.0	895.7800144699839	29.898393974633453	FES750
98	706.0	906.3375160608557	28.283140946792418	FES750
97	708.0	995.2338322531947	25.403693917613055	FES750
96	710.0	991.6787517451934	26.34229905274725	FES750
95	712.0	987.1089261011724	24.050507489932045	FES750
94	714.0	984.3199506290996	23.81938747558882	FES750
93	716.0	1021.5168075742109	27.88388519261313	FES750
92	718.0	1030.0886919645354	30.08425095747657	FES750
91	720.0	1084.6347732623108	32.19354744600888	FES750
